web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1555502361-1345,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@alrubyya,عبدالعزيز الربيع,"كان للراحل #غازي_القصيبي رؤية,  لكنها أُجهضت بفعل المتطرفين و الفاسدين , نتمنى أن لا يتمكنوا من #رؤية_2030
https://amp.twimg.com/v/908ec641-7b28-4d7a-9793-8165e902a080 …""",3,134,71,1.46192E+12,4/29/2016 2:40,/alrubyya/status/725983134890745856
1555502361-986,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@arabstodayEN,Arabs Today English,"#Vision_2030 is already the Most Ambitious Financial Programme
https://goo.gl/BY6WVN 
@arabstodayEN",,,1,1.49381E+12,5/3/2017 5:36,/arabstodayEN/status/859748397636608002
1555502361-1120,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@ialmutaz,إبراهيم صالح المعتاز,"#رؤية_٢٠٣٠ ... ماكنزي ... الصندوق السيادي .. تخصيص ارامكو !؟
د. حمزه السالم ...
.. pic.twitter.com/mmFzji8anH",,55,30,1.47973E+12,11/21/2016 3:17,/ialmutaz/status/800659504564207616
1555502361-1178,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@AjelNews24,خبر عاجل,"عاجل 

الأمير #محمد_بن_سلمان يلتقي الرئيس التنفيذي لشركة ""سوفت بنك"" ويبحثان الفرص الاستثمارية في #المملكة وتعزيز الشراكة وفق #رؤية_2030

- pic.twitter.com/eCm8tMoWMG",11,47,28,1.47636E+12,10/13/2016 6:02,/AjelNews24/status/786552758803529733
1555502361-467,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@khdamatcom9,خدماتـ 9 com,"#تدريب #تطوير #مراكز_التدريب
يمكنكم تحميل تطبيق #سبيلنا من على المتاجر الآن:
http://smartheyin.com/sabel-app 
أبل ستور:
http://itunes.apple.com/us/app/%D8%B3 %…
قوقل بلاي:
http://play.google.com/store/apps/det …
 التواصل مباشرة مع مدير المشروع للحصول على تطبيقكم بهويتكم التجارية
0590220200
#هين_الذكية
#رؤية_2030 pic.twitter.com/gZx4KRvqGa",105,138,40,1.55449E+12,4/5/2019 11:39,/khdamatcom9/status/1114236017303851009
1555502361-615,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@iEN_tv,قناة عين,#مباشر | حفل افتتاح #ملتقى_الإشراف_التربوي الـ19 في ضوء #رؤية_2030 https://www.pscp.tv/w/boGp8DFvTmpsTFJaQlpuand8MUJSSmplblJrQUxHd6z9RzJj-PRJtsDaGxc9p8NZ__BOoncWG8yicrkfqiWX …,18,127,91,1.53837E+12,9/30/2018 22:36,/iEN_tv/status/1046635017915400193
1555502361-1011,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@spagov,واس,"#التعليم  ينظم ندوة علمية عن دور الجامعات والكليات الأهلية في تحقيق #رؤية_2030 .
#واس
http://www.spa.gov.sa/viewfullstory.php?lang=ar&newsid=1615256#1615256 …pic.twitter.com/rix0ypEJxi",5,21,17,1.49215E+12,4/14/2017 0:29,/spagov/status/852785904334786562
1555502361-574,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@OmaimaAlnajjar,Omaima AlNajjar,"#SaudiArabia
#MBS fake reforms 
#التحرش_بالمعتقلات_جريمة 
#السعودية 
#رؤية_2030 
يعتقلونهم عشانهم راحوا يفطرون!
Police cars sent to arrest women now with the new ban on women from entreing the mall in early morning hours!
Women are being arrested for having breakfast at the mall! https://twitter.com/alnajlaala1/status/1064943339303247872 …",,,,1.54288E+12,11/22/2018 0:43,/OmaimaAlnajjar/status/1065526158496841729
1555502361-483,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@sadeem_wss,Sadeem Technology,"What is Sadeem? 
 
#Smart_Cities 
#Digital_Transformation 
#Vision_2030 pic.twitter.com/9pdMmQ8eXi",,5,12,1.55246E+12,3/13/2019 1:14,/sadeem_wss/status/1105743937610878976
1555502361-1012,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@hureyaksa,نحو الحرية,"الكاتب الإقتصادي فهد القاسم:
تم تسويق #رؤية_2030 على أنها تحول من الاعتماد على النفط لغير النفط
لكن ماحصل هو تحولها من النفط إلى جيب المواطن pic.twitter.com/8K7u574HLX",6,136,79,1.49199E+12,4/12/2017 3:00,/hureyaksa/status/852098991756001280
